NumThreads,ExecutionTime(ms)
1,253
2,127
3,105
4,78
5,74
6,59
7,54
8,49
9,55
10,41
11,40
12,41
13,40
14,42
15,40
16,52
17,56
18,43
19,45
20,44
21,41
22,46
23,45
24,40
25,43
26,40
27,39
28,41
29,36
30,45
31,39
32,46
33,44
34,46
35,38
36,43
37,43
38,41
39,39
40,40
41,40
42,37
43,37
44,35
45,38
46,34
47,43
48,36
49,37
50,40
51,36
52,40
53,37
54,39
55,38
56,38
57,37
58,37
59,36
60,37
61,38
62,37
63,35
64,37
65,38
66,39
67,41
68,39
69,37
70,39
71,39
72,37
73,38
74,37
75,35
76,39
77,39
78,55
79,37
80,38
81,36
82,36
83,39
84,38
85,38
86,37
87,37
88,36
89,38
90,39
91,36
92,37
93,35
94,37
95,37
96,38
97,38
98,41
99,37
100,38
